Title,URL,Location
Host/Hostess Full Time - The Americano,https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/124365/apply/email,"United States, Georgia, Atlanta"
Club Lounge Manager,https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/124335/apply/email,"United Kingdom, London"
Host/Hostess Part Time - The Americano,https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/124364/apply/email,"United States, Georgia, Atlanta"
F&B Attendant / Empregado (a) de Mesa 1ª | InterContinental Cascais-Estoril,https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/124269/apply/email,"Portugal, Estoril"
Pastry Supervisor,https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/124371/apply/email,"United States, Illinois, Chicago"
Franchise Hotel - Chef de Rang - InterContinental Rome Ambasciatori Palace ,https://franchisejobs.ihg.com/apply/605f96e7-ae5b-4d44-b4c5-61a2e622d740,"Italy, Rome"
Sales Executive - Middle East,https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/124244/apply/email,"United Kingdom, London"
Maintenance Utility,https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/124369/apply/email,"United States, North Carolina, Fort Bragg"
Tailor/Seamstress at InterContinental Residences Business Bay & Crowne Plaza Business Bay (Pre-Opening),https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/124368/apply/email,"United Arab Emirates, Dubai"
"Director, Commercial Openings and Transitions",https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/124000/apply/email,"United States, Georgia, Atlanta"
Breakfast Waiting Staff,https://fa-evax-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/122925/apply/email,"United Kingdom, Manchester"
